,id,cluster
0,0,7
1,1,1
2,2,0
3,3,7
4,4,9
5,5,8
6,6,4
7,7,0
8,8,0
9,9,4
10,10,4
11,11,0
12,12,9
13,13,8
14,14,0
15,15,11
16,16,0
17,17,10
18,18,0
19,19,8
20,20,2
21,21,6
22,22,2
23,23,10
24,24,1
25,25,4
26,26,1
27,27,9
28,28,6
29,29,5
30,30,4
31,31,6
32,32,8
33,33,8
34,34,11
35,35,2
36,36,9
37,37,0
38,38,0
39,39,0
40,40,6
41,41,9
42,42,9
43,43,1
44,44,9
45,45,8
46,46,6
47,47,4
48,48,6
49,49,9
50,50,3
51,51,4
52,52,7
53,53,0
54,54,7
55,55,0
56,56,0
57,57,0
58,58,4
59,59,0
60,60,4
61,61,9
62,62,11
63,63,0
64,64,6
65,65,2
66,66,1
67,67,0
68,68,7
69,69,10
70,70,8
71,71,0
72,72,8
73,73,9
74,74,9
75,75,0
76,76,4
77,77,3
78,78,9
79,79,6
80,80,11
81,81,7
82,82,7
83,83,6
84,84,4
85,85,6
86,86,10
87,87,1
88,88,4
89,89,11
90,90,0
91,91,6
92,92,1
93,93,9
94,94,0
95,95,3
96,96,9
97,97,7
98,98,0
99,99,1
100,100,6
101,101,4
102,102,9
103,103,0
104,104,0
105,105,6
106,106,1
107,107,6
108,108,5
109,109,1
110,110,7
111,111,4
112,112,0
113,113,8
114,114,9
115,115,8
116,116,1
117,117,8
118,118,1
119,119,0
120,120,8
121,121,9
122,122,1
123,123,6
124,124,2
125,125,0
126,126,1
127,127,2
128,128,0
129,129,9
130,130,6
131,131,1
132,132,10
133,133,0
134,134,7
135,135,7
136,136,9
137,137,9
138,138,3
139,139,1
140,140,6
141,141,6
142,142,5
143,143,9
144,144,8
145,145,7
146,146,8
147,147,9
148,148,9
149,149,0
150,150,6
151,151,2
152,152,0
153,153,9
154,154,2
155,155,3
156,156,0
157,157,0
158,158,11
159,159,1
160,160,6
161,161,0
162,162,6
163,163,6
164,164,9
165,165,5
166,166,1
167,167,9
168,168,0
169,169,10
170,170,9
171,171,0
172,172,0
173,173,6
174,174,4
175,175,8
176,176,1
177,177,9
178,178,10
179,179,0
180,180,0
181,181,2
182,182,0
183,183,1
184,184,0
185,185,7
186,186,1
187,187,8
188,188,1
189,189,9
190,190,9
191,191,9
192,192,1
193,193,1
194,194,0
195,195,10
196,196,5
197,197,0
198,198,2
199,199,0
200,200,1
201,201,9
202,202,0
203,203,0
204,204,2
205,205,8
206,206,7
207,207,9
208,208,6
209,209,1
210,210,1
211,211,4
212,212,6
213,213,7
214,214,9
215,215,0
216,216,1
217,217,4
218,218,0
219,219,0
220,220,6
221,221,4
222,222,0
223,223,0
224,224,2
225,225,8
226,226,7
227,227,6
228,228,9
229,229,1
230,230,3
231,231,10
232,232,4
233,233,4
234,234,4
235,235,2
236,236,4
237,237,0
238,238,11
239,239,10
240,240,0
241,241,8
242,242,6
243,243,1
244,244,0
245,245,6
246,246,4
247,247,9
248,248,4
249,249,9
250,250,1
251,251,4
252,252,8
253,253,1
254,254,0
255,255,0
256,256,1
257,257,0
258,258,11
259,259,0
260,260,6
261,261,0
262,262,6
263,263,3
264,264,11
265,265,6
266,266,4
267,267,0
268,268,0
269,269,9
270,270,7
271,271,1
272,272,4
273,273,9
274,274,9
275,275,10
276,276,4
277,277,4
278,278,8
279,279,4
280,280,0
281,281,6
282,282,9
283,283,9
284,284,0
285,285,4
286,286,7
287,287,0
288,288,2
289,289,6
290,290,0
291,291,3
292,292,4
293,293,8
294,294,9
295,295,0
296,296,1
297,297,9
298,298,10
299,299,1
300,300,10
301,301,9
302,302,4
303,303,1
304,304,1
305,305,0
306,306,0
307,307,9
308,308,4
309,309,3
310,310,1
311,311,1
312,312,9
313,313,9
314,314,6
315,315,0
316,316,7
317,317,9
318,318,5
319,319,9
320,320,0
321,321,9
322,322,5
323,323,0
324,324,9
325,325,6
326,326,7
327,327,1
328,328,8
329,329,4
330,330,8
331,331,4
332,332,2
333,333,0
334,334,1
335,335,4
336,336,7
337,337,11
338,338,0
339,339,0
340,340,2
341,341,9
342,342,0
343,343,0
344,344,0
345,345,9
346,346,1
347,347,2
348,348,8
349,349,9
350,350,0
351,351,8
352,352,9
353,353,0
354,354,10
355,355,0
356,356,11
357,357,4
358,358,1
359,359,0
360,360,3
361,361,0
362,362,3
363,363,9
364,364,9
365,365,0
366,366,6
367,367,6
368,368,6
369,369,6
370,370,1
371,371,1
372,372,9
373,373,6
374,374,11
375,375,4
376,376,0
377,377,7
378,378,9
379,379,6
380,380,9
381,381,4
382,382,6
383,383,10
384,384,10
385,385,4
386,386,11
387,387,6
388,388,8
389,389,1
390,390,9
391,391,9
392,392,5
393,393,4
394,394,7
395,395,0
396,396,4
397,397,9
398,398,0
399,399,3
400,400,8
401,401,9
402,402,9
403,403,1
404,404,6
405,405,10
406,406,0
407,407,7
408,408,8
409,409,6
410,410,5
411,411,6
412,412,4
413,413,1
414,414,9
415,415,6
416,416,6
417,417,0
418,418,0
419,419,6
420,420,2
421,421,5
422,422,6
423,423,0
424,424,9
425,425,0
426,426,4
427,427,6
428,428,4
429,429,1
430,430,7
431,431,7
432,432,9
433,433,7
434,434,9
435,435,9
436,436,0
437,437,4
438,438,7
439,439,0
440,440,1
441,441,0
442,442,6
443,443,0
444,444,6
445,445,8
446,446,1
447,447,2
448,448,6
449,449,0
450,450,1
451,451,0
452,452,10
453,453,6
454,454,4
455,455,1
456,456,6
457,457,8
458,458,10
459,459,4
460,460,10
461,461,2
462,462,1
463,463,1
464,464,9
465,465,8
466,466,3
467,467,0
468,468,7
469,469,9
470,470,6
471,471,6
472,472,2
473,473,9
474,474,9
475,475,4
476,476,9
477,477,6
478,478,0
479,479,5
480,480,0
481,481,9
482,482,0
483,483,9
484,484,9
485,485,10
486,486,9
487,487,1
488,488,0
489,489,9
490,490,1
491,491,4
492,492,1
493,493,1
494,494,6
495,495,4
496,496,9
497,497,0
498,498,6
499,499,1
500,500,4
501,501,2
502,502,7
503,503,0
504,504,10
505,505,8
506,506,0
507,507,1
508,508,6
509,509,1
510,510,9
511,511,11
512,512,9
513,513,6
514,514,6
515,515,11
516,516,3
517,517,0
518,518,8
519,519,5
520,520,9
521,521,9
522,522,8
523,523,8
524,524,7
525,525,10
526,526,7
527,527,9
528,528,10
