,id,cluster
907,907,2
908,908,7
909,909,9
910,910,0
911,911,11
912,912,6
913,913,9
914,914,6
915,915,0
916,916,2
917,917,1
918,918,1
919,919,8
920,920,2
921,921,6
922,922,1
923,923,11
924,924,9
925,925,0
926,926,5
927,927,1
928,928,6
929,929,6
930,930,4
931,931,11
932,932,9
933,933,9
934,934,9
935,935,0
936,936,0
937,937,0
938,938,9
939,939,4
940,940,6
941,941,6
942,942,8
943,943,4
944,944,6
945,945,0
946,946,6
947,947,5
948,948,6
949,949,8
950,950,9
951,951,3
952,952,4
953,953,7
954,954,1
955,955,1
956,956,8
957,957,4
958,958,0
959,959,4
960,960,0
961,961,8
962,962,7
963,963,6
964,964,0
965,965,9
966,966,4
967,967,4
968,968,0
969,969,4
970,970,4
971,971,0
972,972,6
973,973,6
974,974,7
975,975,4
976,976,10
977,977,5
978,978,9
979,979,9
980,980,6
981,981,0
982,982,4
983,983,9
984,984,0
985,985,9
986,986,0
987,987,6
988,988,4
989,989,9
990,990,5
991,991,6
992,992,4
993,993,6
994,994,9
995,995,3
996,996,4
997,997,1
998,998,3
999,999,9
